iter	Passed	Remaining
399	89191	133787
400	89417	133568
401	89634	133336
402	89886	133156
403	90108	132932
404	90347	132733
405	90562	132497
406	90821	132326
407	91158	132269
408	91461	132160
409	91751	132032
410	92070	131945
411	92338	131784
412	92644	131675
413	92954	131572
414	93233	131426
415	93470	131218
416	93789	131125
417	94024	130913
418	94252	130694
419	94499	130498
420	94727	130277
421	94994	130111
422	95237	129910
423	95470	129695
424	95699	129475
425	95929	129256
426	96157	129035
427	96390	128821
428	96620	128601
429	96836	128364
430	97074	128155
431	97293	127922
432	97547	127734
433	97760	127493
434	97987	127270
435	98209	127042
436	98471	126864
437	98716	126663
438	98944	126442
439	99166	126212
440	99395	125990
441	99621	125767
442	99844	125537
443	100068	125311
444	100291	125082
445	100529	124872
446	100744	124635
447	100969	124408
448	101181	124167
449	101401	123935
450	101624	123707
451	101844	123475
452	102102	123289
453	102346	123085
454	102592	122885
455	102827	122671
456	103051	122443
457	103274	122215
458	103497	121987
459	103723	121762
460	103941	121527
461	104163	121298
462	104381	121064
463	104601	120832
464	104813	120592
465	105031	120357
466	105250	120125
467	105498	119925
468	105755	119735
469	105994	119525
470	106222	119303
471	106444	119073
472	106665	118843
473	106888	118614
474	107112	118387
475	107325	118148
476	107548	117920
477	107787	117709
478	108012	117483
479	108232	117251
480	108445	117012
481	108688	116806
482	108921	116588
483	109149	116365
484	109461	116232
485	109677	115996
486	109888	115755
487	110114	115529
488	110322	115286
489	110541	115053
490	110753	114814
491	110976	114585
492	111197	114355
493	111413	114119
494	111633	113888
495	111849	113653
496	112067	113420
497	112296	113198
498	112535	112986
499	112777	112777
500	112981	112530
501	113225	112323
502	113429	112076
503	113642	111839
504	113855	111601
505	114074	111368
506	114292	111136
507	114506	110900
508	114728	110671
509	114959	110450
510	115178	110219
511	115397	109988
512	115607	109747
513	115837	109527
514	116064	109303
515	116306	109093
516	116523	108859
517	116750	108636
518	116968	108404
519	117197	108181
520	117420	107954
521	117636	107720
522	117853	107487
523	118070	107255
524	118285	107020
525	118508	106792
526	118729	106563
527	118945	106329
528	119160	106096
529	119424	105904
530	119658	105687
531	119884	105462
532	120116	105242
533	120325	105002
534	120546	104774
535	120757	104536
536	120979	104308
537	121196	104075
538	121422	103850
539	121642	103621
540	121861	103390
541	122083	103163
542	122300	102930
543	122513	102695
544	122757	102485
545	123001	102275
546	123254	102073
547	123462	101833
548	123673	101597
549	123887	101362
550	124112	101136
551	124319	100897
552	124533	100662
553	124750	100430
554	124971	100202
555	125264	100031
556	125483	99800
557	125699	99568
558	125914	99335
559	126139	99109
560	126406	98916
561	126630	98690
562	126850	98461
563	127079	98238
564	127301	98010
565	127549	97803
566	127762	97568
567	127986	97341
568	128205	97111
569	128420	96878
570	128635	96645
571	128858	96418
572	129075	96187
573	129296	95958
574	129517	95730
575	129750	95511
576	129992	95297
577	130228	95080
578	130441	94846
579	130659	94615
580	130871	94380
581	131099	94157
582	131317	93926
583	131531	93693
584	131750	93464
585	131980	93242
586	132199	93012
587	132411	92777
588	132624	92544
589	132849	92319
590	133067	92089
591	133316	91880
592	133547	91659
593	133767	91430
594	133989	91203
595	134212	90975
596	134425	90742
597	134670	90530
598	134881	90296
599	135105	90070
600	135329	89844
601	135537	89607
602	135749	89373
603	135954	89136
604	136181	88911
605	136392	88677
606	136618	88453
607	136860	88238
608	137089	88016
609	137316	87792
610	137527	87558
611	137742	87326
612	137958	87095
613	138174	86865
614	138416	86651
615	138636	86422
616	138852	86192
617	139063	85958
618	139278	85726
619	139531	85519
620	139747	85288
621	140061	85117
622	140328	84918
623	140537	84682
624	140753	84451
625	140955	84213
626	141173	83983
627	141386	83751
628	141617	83529
629	141826	83294
630	142052	83070
631	142264	82837
632	142483	82609
633	142697	82377
634	142926	82154
635	143153	81930
636	143377	81704
637	143619	81489
638	143861	81274
639	144088	81049
640	144304	80819
641	144525	80591
642	144737	80359
643	144950	80128
644	145193	79912
645	145437	79697
646	145651	79467
647	145882	79245
648	146115	79023
649	146346	78801
650	146568	78575
651	146789	78347
652	147044	78138
653	147286	77922
654	147507	77694
655	147731	77468
656	147957	77244
657	148177	77016
658	148398	76789
659	148651	76578
660	148874	76351
661	149086	76119
662	149316	75896
663	149539	75670
664	149757	75441
665	149973	75211
666	150198	74986
667	150440	74769
668	150726	74574
669	150934	74340
670	151171	74121
671	151427	73911
672	151654	73686
673	151880	73461
674	152126	73246
675	152339	73014
676	152566	72790
677	152788	72563
678	153000	72331
679	153221	72104
680	153437	71874
681	153650	71643
682	153911	71434
683	154160	71220
684	154378	70991
685	154586	70758
686	154851	70550
687	155071	70323
688	155291	70095
689	155598	69906
690	155811	69675
691	156039	69451
692	156261	69224
693	156505	69006
694	156719	68776
695	156945	68551
696	157179	68329
697	157413	68107
698	157628	67877
699	157848	67649
700	158078	67425
701	158345	67217
702	158607	67007
703	158853	66790
704	159098	66573
705	159341	66354
706	159583	66135
707	159820	65914
708	160082	65703
709	160329	65486
710	160570	65267
711	160799	65042
712	161025	64816
713	161238	64585
714	161446	64352
715	161665	64124
716	161871	63890
717	162094	63663
718	162301	63430
719	162540	63210
720	162772	62987
721	162989	62757
722	163212	62531
723	163433	62303
724	163670	62082
725	163885	61852
726	164114	61627
727	164349	61405
728	164559	61173
729	164779	60945
730	164999	60718
731	165229	60493
732	165439	60262
733	165653	60032
734	165872	59804
735	166097	59578
736	166314	59349
737	166531	59120
738	166752	58893
739	166978	58668
740	167196	58439
741	167418	58213
742	167650	57989
743	167875	57763
744	168089	57534
745	168316	57308
746	168520	57075
747	168736	56847
748	168958	56620
749	169197	56399
750	169431	56176
751	169655	55950
752	169872	55721
753	170089	55493
754	170315	55267
755	170533	55039
756	170828	54836
757	171085	54621
758	171325	54399
759	171544	54171
760	171763	53944
761	171985	53717
762	172199	53488
763	172426	53262
764	172655	53038
765	172894	52816
766	173123	52591
767	173346	52365
768	173550	52132
769	173768	51904
770	173977	51674
771	174200	51447
772	174434	51224
773	174672	51002
774	174885	50773
775	175106	50546
776	175328	50319
777	175553	50093
778	175773	49866
779	176016	49645
780	176233	49417
781	176453	49190
782	176672	48962
783	176889	48734
784	177110	48507
785	177333	48281
786	177546	48052
787	177782	47829
788	178017	47606
789	178249	47382
790	178471	47156
791	178696	46930
792	178906	46700
793	179127	46473
794	179362	46250
795	179579	46023
796	179794	45794
797	180010	45566
798	180227	45338
799	180451	45112
800	180676	44887
801	180892	44659
802	181112	44432
803	181356	44211
804	181600	43990
805	181808	43760
806	182046	43537
807	182268	43311
808	182498	43086
809	182728	42862
810	182945	42634
811	183158	42406
812	183374	42178
813	183606	41954
814	183827	41727
815	184041	41499
816	184273	41275
817	184485	41046
818	184799	40840
819	185021	40614
820	185245	40388
821	185464	40161
822	185687	39935
823	185920	39711
824	186140	39484
825	186355	39256
826	186577	39030
827	186794	38802
828	187027	38578
829	187248	38352
830	187469	38125
831	187693	37899
832	187924	37675
833	188147	37449
834	188390	37226
835	188630	37004
836	188849	36777
837	189074	36551
838	189326	36330
839	189549	36104
840	189773	35878
841	189998	35652
842	190232	35428
843	190460	35203
844	190680	34976
845	190910	34751
846	191140	34527
847	191368	34301
848	191596	34076
849	191855	33856
850	192103	33635
851	192320	33407
852	192549	33182
853	192771	32956
854	192994	32730
855	193211	32502
856	193424	32274
857	193659	32050
858	193865	31821
859	194090	31596
860	194302	31368
861	194522	31141
862	194747	30915
863	194971	30689
864	195202	30465
865	195447	30242
866	195664	30015
867	195896	29790
868	196115	29564
869	196338	29337
870	196565	29112
871	196783	28885
872	197000	28658
873	197220	28432
874	197437	28205
875	197652	27978
876	197864	27750
877	198086	27524
878	198359	27305
879	198624	27085
