iter	MultiClass
0	1.837111055
1	1.750616749
2	1.679094925
3	1.618037682
4	1.572469859
5	1.52786326
6	1.48347458
7	1.446787332
8	1.417671509
9	1.388888255
10	1.364416328
11	1.344372681
12	1.324316824
13	1.297789484
14	1.275362806
15	1.249885378
16	1.231165383
17	1.212161459
18	1.19668903
19	1.182129655
20	1.169115795
21	1.154719272
22	1.142247735
23	1.131531316
24	1.114654185
25	1.104956676
26	1.092377148
27	1.080996606
28	1.070344135
29	1.061921272
30	1.051390543
31	1.043586706
32	1.032422024
33	1.024207214
34	1.014226301
35	1.006782176
36	0.9996066107
37	0.9907437164
38	0.9855946263
39	0.9794393399
40	0.971378462
41	0.9663773832
42	0.9575649286
43	0.9494287695
44	0.9428724379
45	0.9379664856
46	0.9330887077
47	0.9283841209
48	0.9217552968
49	0.9172560712
50	0.9104596288
51	0.905966657
52	0.9031648175
53	0.8970751517
54	0.8933465661
55	0.8890080898
56	0.8848868162
57	0.8794835108
58	0.8767782225
59	0.8725223839
60	0.8698583456
61	0.8659130247
62	0.8628087313
63	0.8590114885
64	0.8556037422
65	0.848311107
66	0.8463624221
67	0.8432288327
68	0.8381250044
69	0.8324404245
70	0.829918712
71	0.827026519
72	0.8251599986
73	0.8194737287
74	0.8180890262
75	0.8156526113
76	0.8124499273
77	0.8090746355
78	0.8067738918
79	0.8042579843
80	0.8005899318
81	0.7977932703
82	0.7946331426
83	0.7920498879
84	0.7902422889
85	0.785422446
86	0.7836188072
87	0.7808486861
88	0.7760328458
89	0.7734435631
90	0.7716847995
91	0.7687947532
92	0.7665961903
93	0.7628320225
94	0.7600386651
95	0.7573395084
96	0.7549747208
97	0.7531989139
98	0.7509437874
99	0.7478304523
100	0.7444546079
101	0.7409553081
102	0.7377265685
103	0.7360638078
104	0.7330311826
105	0.7306999061
106	0.7293141747
107	0.7268644762
108	0.7253364709
109	0.721926906
110	0.7197964857
111	0.7174607397
112	0.712861261
113	0.7108653806
114	0.7090676693
115	0.7070962477
116	0.7040365916
117	0.7010698838
118	0.6983696342
119	0.6959359691
120	0.6934314877
121	0.6902712284
122	0.6876250941
123	0.6858599561
124	0.6834752801
125	0.6819094829
126	0.6807918753
127	0.6786787097
128	0.6770470027
129	0.6746943868
130	0.6724204707
131	0.6712256731
132	0.6694203905
133	0.6682295914
134	0.6663161455
135	0.6651445013
136	0.6629730086
137	0.6615340494
138	0.6600511267
139	0.6573812175
140	0.6553273021
141	0.6537047205
142	0.6528494383
143	0.6518622302
144	0.649406136
145	0.6470865838
146	0.6458786227
147	0.6440653948
148	0.6425565147
149	0.6411708601
150	0.6398989154
151	0.6378745825
152	0.63539927
153	0.6336008807
154	0.6325096559
155	0.6315863381
156	0.6303102678
157	0.6288799681
158	0.6276466212
